state,fips,population
23,23011,120953
23,23013,39717
23,23015,34165
23,23017,57299
23,23019,152978
23,23021,17044
23,23023,35134
23,23025,51363
23,23027,39071
23,23029,31925
23,23031,200536
24,24001,73060
24,24003,559737
24,24005,825666
24,24009,90527
24,24011,32653
24,24013,167535
24,24015,102175
24,24017,154357
24,24019,32451
24,24021,243465
24,24023,29677
24,24025,249776
24,24027,308447
24,24029,19819
24,24031,1026371
24,24033,897693
24,24035,48712
24,24037,110675
24,24039,25899
24,24041,37668
24,24043,149571
24,24045,101527
24,24047,51441
24,24510,621000
25,25001,214703
25,25003,128563
25,25005,554868
25,25007,17137
25,25009,769362
25,25011,70916
25,25013,468072
25,25015,161035
25,25017,1567610
36,36115,62465
36,36117,91874
36,36119,969229
36,36121,41239
36,36123,25106
37,37001,156372
37,37003,37211
37,37005,10868
37,37007,25883
37,37009,26992
37,37011,17633
37,37013,47513
37,37015,20324
37,37017,34454
37,37019,119167
37,37021,250112
37,37023,89082
37,37025,192296
37,37027,81623
37,37029,10228
37,37031,68537
37,37033,23094
37,37035,155461
37,37037,68778
37,37039,27226
37,37041,14556
37,37043,10730
37,37045,97113
37,37047,57015
37,37049,104190
37,37051,325841
37,37053,24864
37,37055,35187
37,37057,164058
37,37059,41568
37,37061,59121
37,37063,294618
37,37065,54669
37,37067,364691
37,37069,62989
37,37071,211753
37,37073,11615
37,37075,8651
37,37077,58341
37,37079,21241
37,37081,511815
37,37083,52849
37,37085,126620
37,37087,59577
37,37089,110905
37,37091,24285
37,37093,51853
37,37095,5629
37,37097,167493
37,37099,41227
37,37101,182155
37,37103,10074
37,37105,59540
37,37107,58343
37,37109,79783
37,37111,45013
37,37113,33991
37,37115,21130
37,37117,23510
37,37119,1011774
37,37121,15263
37,37123,27475
37,37125,93070
37,37127,94385
37,37129,216430
37,37131,20628
37,37133,185755
37,37135,139807
37,37137,12892
37,37139,39909
37,37141,56358
37,37143,13470
37,37145,39196
37,37147,175150
37,37149,20324
37,37151,142588
37,37153,45710
37,37155,134576
37,37157,91898
37,37159,138694
37,37161,66701
37,37163,63713
37,37165,35711
37,37167,60610
37,37169,46453
37,37171,72767
37,37173,14234
37,37175,33062
37,37179,217614
37,37181,44508
37,37183,998576
37,37185,20324
37,37187,12503
37,37189,52745
37,37191,124447
37,37193,68888
37,37195,81617
37,37197,37819
37,37199,17599
38,38003,11033
38,38005,6802
38,38009,6650
38,38015,90560
38,38017,166852
38,38021,5160
38,38035,69793
38,38049,5912
38,38053,10718
38,38055,9576
38,38057,8671
38,38059,29633
38,38061,9675
38,38067,7136
38,38071,11578
38,38073,5457
38,38077,16329
38,38079,14607
38,38089,29837
38,38093,21108
38,38097,8075
38,38099,10995
38,38101,68954
38,38105,31643
39,39001,28111
39,39003,104664
39,39005,53343
39,39007,99175
39,39009,65103
39,39011,45871
39,39013,69228
39,39015,44059
39,39017,373638
39,39019,28108
39,39021,39175
39,39023,136175
39,39025,201092
39,39027,41854
39,39029,105230
39,39031,36665
39,39033,42485
39,39035,1258710
39,39037,52185
39,39039,38488
39,39041,188996
39,39043,75808
39,39045,150163
39,39047,28719
39,39049,1232118
39,39051,42466
39,39053,30376
39,39055,94020
39,39057,164325
39,39059,39478
39,39061,805965
39,39063,75672
39,39065,31652
39,39067,15521
39,39069,27890
39,39071,43109
39,39073,28690
39,39075,43702
39,39077,58704
39,39079,32717
39,39081,67607
39,39083,60878
39,39085,229266
39,39087,61503
39,39089,169762
39,39091,45388
39,39093,304091
39,39095,434800
39,39097,43537
39,39099,233015
39,39101,65620
39,39103,175543
39,39105,23345
39,39107,40886
39,39109,103864
39,39111,14442
39,39113,532761
39,39115,14857
39,39117,35032
39,39119,85991
39,39121,14429
39,39123,40981
39,39125,19057
39,39127,35947
39,39129,56804
39,39131,28298
39,39133,161796
39,39135,41561
39,39137,34116
39,39139,121888
39,39141,77193
39,39143,59870
39,39145,77366
39,39147,55711
39,39149,48949
39,39151,374762
39,39153,541372
39,39155,204908
39,39157,92579
39,39159,53955
39,39161,28501
39,39163,13128
39,39165,222184
39,39167,61154
39,39169,115747
39,39171,37270
39,39173,129418
39,39175,22359
40,40001,22161
40,40003,5784
40,40005,13847
40,40007,5479
40,40009,23290
40,40011,9777
40,40013,44529
40,40015,29510
40,40017,129571
40,40019,48530
40,40021,48267
40,40023,15051
40,40027,271818
40,40029,5755
40,40031,124583
40,40033,6062
40,40035,14683
40,40037,70931
40,40039,29248
40,40041,41433
40,40047,62481
40,40049,27570
40,40051,53955
40,40055,6081
40,40061,12835
40,40063,13727
40,40065,25864
40,40067,6280
40,40069,11027
40,40071,45398
40,40073,15392
40,40075,9239
40,40077,10643
40,40079,49885
40,40081,34640
40,40083,45171
40,40085,9768
40,40087,37222
40,40089,33071
40,40091,20161
40,40093,7721
40,40095,16079
40,40097,40923
40,40099,13792
40,40101,69939
40,40103,11470
40,40105,10510
40,40107,12212
40,40109,764698
40,40111,39322
40,40113,47923
40,40115,32022
40,40117,16444
40,40119,79953
40,40121,44643
40,40123,38213
40,40125,71551
40,40127,11149
40,40131,89970
40,40133,25403
40,40135,41344
40,40137,44631
40,40139,21499
40,40141,7611
40,40143,629823
40,40145,76190
40,40147,51892
40,40149,11626
40,40151,9125
40,40153,21111
41,41001,16030
41,41003,87455
41,41005,394967
41,41007,37660
41,41009,49645
41,41011,62944
41,41013,21334
41,41015,22364
41,41017,170813
41,41019,107375
41,41023,7227
41,41025,7214
41,41027,22842
41,41029,210916
41,41031,22305
41,41033,84063
41,41035,65946
41,41037,7799
41,41039,360273
41,41041,46685
41,41043,119862
41,41045,30474
41,41047,326527
41,41049,11207
41,41051,778193
41,41053,78470
41,41057,25552
41,41059,76582
41,41061,25758
41,41063,6836
41,41065,25657
41,41067,564088
41,41071,102217
42,42001,101759
42,42003,1230360
42,42005,67512
42,42007,169205
42,42009,48852
42,42011,414097
42,42013,125917
42,42015,61808
42,42017,626220
42,42019,185974
42,42021,137762
42,42025,64330
47,47035,57895
47,47037,667885
47,47039,11703
47,47041,19159
47,47043,50926
47,47045,37970
47,47047,39071
47,47049,17936
47,47051,41348
47,47053,49511
47,47055,29034
47,47057,22813
47,47059,68502
47,47061,13494
47,47063,63203
47,47065,351305
47,47067,6609
47,47069,25975
47,47071,25839
47,47073,56567
47,47075,18129
47,47077,27952
47,47079,32291
47,47081,24251
47,47083,8234
47,47085,18216
47,47087,11526
47,47089,52851
47,47091,17923
47,47093,448164
47,47095,7643
47,47097,27261
47,47099,42406
47,47101,11907
47,47103,33582
47,47105,50637
47,47107,52606
47,47109,26057
47,47111,22924
47,47113,98128
47,47115,28363
47,47117,31335
47,47119,85767
47,47121,11804
47,47123,45482
47,47125,189709
47,47127,6314
47,47129,21688
47,47131,30900
47,47133,22090
47,47135,7891
47,47137,5096
47,47139,16697
47,47141,74652
47,47143,32461
47,47145,52983
47,47147,67905
47,47149,290289
47,47151,22029
